make,model,year,fuel_type,range,city_mpge,hwy_mpge,co2_emissions,charge_time_240v
Rivian,R1T Performance Dual Max (22in),2024,Electricity,380.0,84.0,72.0,0.0,14.5
Rivian,R1T Performance Dual Standard Plus (21in),2024,Electricity,315.0,80.0,74.0,0.0,12.5
Rivian,R1T Performance Dual Standard Plus (22in),2024,Electricity,300.0,76.0,68.0,0.0,12.5
Rivian,R1T Quad Large (20in),2024,Electricity,289.0,69.0,60.0,0.0,13.0
Rivian,R1T Quad Large (21in),2024,Electricity,328.0,76.0,69.0,0.0,13.0
Rivian,R1T Quad Large (22in),2024,Electricity,303.0,73.0,63.0,0.0,13.0
Lucid,Air G Touring XR AWD with 20 inch wheels,2024,Electricity,485.0,123.0,119.0,0.0,13.0
Lucid,Air G Touring XR AWD with 21 inch wheels,2024,Electricity,450.0,115.0,111.0,0.0,13.0
Lucid,Air G Touring XR AWD with19 inch wheels,2024,Electricity,516.0,130.0,128.0,0.0,13.0
Lucid,Air Pure RWD with 19 inch wheels,2024,Electricity,419.0,140.0,134.0,0.0,10.0
Lucid,Air Pure RWD with 20 inch wheels,2024,Electricity,394.0,134.0,126.0,0.0,10.0
Lucid,Air Sapphire AWD,2024,Electricity,427.0,108.0,101.0,0.0,13.0
Lucid,Air Touring AWD with 19 inch wheels,2024,Electricity,411.0,135.0,131.0,0.0,10.0
Lucid,Air Touring AWD with 20 inch wheels,2024,Electricity,382.0,125.0,120.0,0.0,10.0
Lucid,Air Touring AWD with 21inch wheels,2024,Electricity,365.0,121.0,114.0,0.0,10.0
Hyundai,Ioniq 5 Long range AWD,2024,Electricity,260.0,110.0,88.0,0.0,8.5
Hyundai,Ioniq 5 Long range RWD,2024,Electricity,303.0,132.0,98.0,0.0,8.5
Hyundai,Ioniq 5 Standard range RWD,2024,Electricity,220.0,127.0,94.0,0.0,6.3
Hyundai,Ioniq 6 Long range AWD (18 inch Wheels),2024,Electricity,316.0,130.0,111.0,0.0,7.5
Hyundai,Ioniq 6 Long range AWD (20 inch Wheels),2024,Electricity,270.0,111.0,94.0,0.0,7.5
Hyundai,Ioniq 6 Long range RWD (18 inch Wheels),2024,Electricity,361.0,153.0,127.0,0.0,7.5
Hyundai,Ioniq 6 Long range RWD (20 inch Wheels),2024,Electricity,305.0,129.0,105.0,0.0,7.5
Hyundai,Ioniq 6 Standard Range RWD,2024,Electricity,240.0,151.0,120.0,0.0,6.1
Hyundai,Kona Electric Long Range,2024,Electricity,261.0,129.0,103.0,0.0,6.7
Hyundai,Kona Electric Standard Range,2024,Electricity,200.0,131.0,105.0,0.0,5.1
Hyundai,Tucson Plug-in Hybrid,2024,Regular Gas and Electricity,420.0,35.0,35.0,100.0,1.7
Kia,EV6 AWD GT,2024,Electricity,218.0,88.0,77.0,0.0,7.7
Kia,EV6 Long Range AWD (19 inch Wheels),2024,Electricity,282.0,120.0,98.0,0.0,8.4
Kia,EV6 Long Range AWD (20 inch Wheels),2024,Electricity,252.0,106.0,86.0,0.0,8.4
Kia,EV6 Long Range RWD,2024,Electricity,310.0,134.0,101.0,0.0,8.7
Kia,EV6 Standard Range RWD,2024,Electricity,232.0,136.0,100.0,0.0,6.3
Kia,EV9 Long Range AWD,2024,Electricity,280.0,91.0,75.0,0.0,14.5
Kia,EV9 Long Range AWD GT-Line,2024,Electricity,270.0,88.0,72.0,0.0,15.2
Kia,EV9 Long Range RWD,2024,Electricity,304.0,100.0,78.0,0.0,9.9
Kia,EV9 Standard Range RWD,2024,Electricity,230.0,99.0,77.0,0.0,7.6
Kia,Niro Electric,2024,Electricity,253.0,126.0,101.0,0.0,7.5
Kia,Sorento Plug-in Hybrid,2024,Regular Gas and Electricity,460.0,35.0,33.0,105.0,3.4
Kia,Sportage Plug-in Hybrid,2024,Regular Gas and Electricity,430.0,36.0,35.0,96.0,2.0
